Domain,FoundInCertFor,CertSubject
"irb.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"ireach.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"irrigatedag.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"itbrevitalization.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"itgovernance.wsu.edu","its.wsu.edu","CN=iacuc.wsu.edu"
"labienvenida.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"lead.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"lgbt.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"livingat.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mgc.gogreek.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mlk.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"movein.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"msmp.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mss.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"mynutrition.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"nook.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"northside.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"nphc.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"nwlgbtleadership.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"offcampusliving.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"osa.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"osae.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"payme.as.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"performance.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"platform.zeemee.com","zeemee.com","CN=zeemee.com"
"register.tableau.com","tableau.com","CN=www.tableausoftware.com, O=""Tableau Software, LLC"", L=Seattle, S=Washington, C=US"
"reslife.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"rta.wsu.edu","housing.wsu.edu","CN=asis-w2.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saed.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saedem.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saefinanceadmin.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"saem.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
"safinanceadmin.wsu.edu","family.wsu.edu","CN=asis-w3.asis.wsu.edu, O=Washington State University, S=Washington, C=US"
